store_lat,store_lon,delivery_zone,city,city_tier,customer_lat,customer_lon,distance_km,road_type,traffic_index,rainfall_mm,weather_condition,hour,weekday,peak_hour_flag,weekend_flag,festival_day_flag,item_count,order_amount,order_weight_kg,membership_type,demand_level,vehicle_type,rider_experience_months,current_rider_load,rider_rating,previous_acceptance_rate,rider_earnings_today,current_incentive,delivery_charge,delivery_time_minutes,rider_accepted,order_month,order_year
12.84682,77.573191,BEN-Z13,bengaluru,1,12.860161,77.575804,1.51,residential,0.5455,0.0,clear,22,6,0,1,0,3,52.43,1.457,none,low,bike,14.2,2,4.71,0.783,291.63,28.0,51.4,20.76,1,March,2026
19.045278,72.894492,MUM-Z05,mumbai,1,19.039069,72.904669,1.273,arterial,0.414,0.0,moderate_rain,14,0,0,0,0,4,145.17,1.966,pass,low,bicycle,15.5,3,4.03,0.582,478.75,40.0,45.76,26.0,1,April,2026
17.432337,78.531114,HYD-Z07,hyderabad,1,17.441617,78.514133,2.076,arterial,0.6352,0.0,clear,13,3,1,0,0,4,49.17,1.172,pass,high,bike,17.1,3,4.81,0.835,951.57,45.61,51.81,21.82,1,February,2026
13.065923,77.533601,BEN-Z10,bengaluru,1,13.079372,77.549791,2.305,narrow_lane,0.6359,0.0,clear,20,2,1,0,0,6,57.96,2.012,none,low,bike,23.7,1,4.8,0.928,1537.62,52.71,65.78,30.36,1,February,2026
12.972781,77.610699,BEN-Z14,bengaluru,1,12.969402,77.619637,1.039,arterial,0.3505,0.0,clear,23,5,0,1,0,5,239.13,5.315,pass,medium,scooter,26.3,0,4.47,0.875,1160.02,20.2,43.29,13.58,1,April,2026
9.933797,78.060875,MAD-Z01,madurai,3,9.904449,78.088917,4.481,highway,0.3213,0.0,clear,23,4,0,0,0,3,153.26,1.677,pass,high,scooter,6.2,0,4.03,0.686,1638.83,51.72,47.59,15.29,0,November,2028
13.08345,80.279958,CHE-Z03,chennai,1,13.092851,80.274255,1.214,narrow_lane,0.3475,0.0,clear,10,6,0,1,0,4,242.08,3.745,pass,medium,bike,43.8,1,4.39,0.887,689.43,19.01,36.57,15.59,1,June,2026
12.292492,76.634712,MYS-Z02,mysuru,3,12.289327,76.65042,1.743,arterial,0.4916,0.0,clear,12,4,1,0,0,2,50.79,0.925,none,medium,scooter,6.4,0,4.45,0.84,694.5,38.46,43.44,16.17,1,June,2026
12.273057,76.609077,MYS-Z01,mysuru,3,12.260135,76.610419,1.444,residential,0.5891,0.0,clear,20,2,1,0,0,6,287.08,2.887,none,high,scooter,16.8,3,4.19,0.923,352.71,36.61,34.39,21.58,1,January,2026
17.383957,78.480301,HYD-Z01,hyderabad,1,17.374445,78.475136,1.191,arterial,0.6842,0.0,clear,13,6,1,1,0,9,115.02,1.796,none,medium,bicycle,3.1,0,4.35,0.734,1012.04,35.73,58.36,23.02,1,May,2026
13.102544,80.255519,CHE-Z14,chennai,1,13.077906,80.245476,2.948,residential,0.2728,0.0,clear,18,0,0,0,0,5,68.95,2.471,pass_plus,low,bike,32.8,3,4.62,0.662,782.94,34.46,52.06,24.34,1,January,2026
13.000426,77.566828,BEN-Z04,bengaluru,1,13.023095,77.569715,2.54,residential,0.6023,0.0,clear,13,4,1,0,0,10,252.15,3.396,none,low,scooter,10.2,3,4.62,0.915,400.99,48.04,54.13,34.7,1,February,2026
13.09369,80.301218,CHE-Z01,chennai,1,13.101199,80.293409,1.188,residential,0.434,0.0,clear,18,6,0,1,0,7,122.07,2.063,pass_plus,low,bike,3.6,1,4.78,0.489,809.55,22.14,38.15,14.78,1,January,2026
28.599307,77.205607,DEL-Z10,delhi ncr,1,28.604382,77.224685,1.946,arterial,0.468,0.0,clear,18,5,0,1,0,6,73.34,0.401,none,medium,scooter,13.5,2,4.95,0.728,1485.11,35.33,55.34,23.1,0,March,2026
28.74618,77.197588,DEL-Z03,delhi ncr,1,28.762976,77.16075,4.048,residential,0.6931,0.0,clear,19,5,1,1,0,4,172.84,1.301,pass_plus,high,ev_bike,5.4,0,4.7,0.796,1268.45,62.38,44.75,37.04,0,June,2026
28.640905,77.121366,DEL-Z07,delhi ncr,1,28.634477,77.134986,1.509,residential,0.5741,0.0,clear,20,3,1,0,0,2,56.22,0.243,pass,medium,bike,8.0,0,4.71,0.527,1217.98,41.81,50.41,15.13,1,January,2026
13.137892,80.313144,CHE-Z04,chennai,1,13.141357,80.305086,0.954,residential,0.4435,0.0,clear,10,5,0,1,0,9,623.55,1.997,pass,low,scooter,14.8,0,4.35,0.815,362.15,23.37,26.65,14.55,1,June,2026
28.562492,77.247599,DEL-Z04,delhi ncr,1,28.580146,77.240728,2.075,arterial,0.3371,0.0,clear,15,2,0,0,0,6,111.97,1.327,pass_plus,low,ev_bike,19.2,2,4.24,0.747,447.41,39.18,37.19,20.13,1,March,2026
13.009524,77.554209,BEN-Z01,bengaluru,1,13.008434,77.530144,2.61,arterial,0.451,0.0,clear,18,3,0,0,0,4,245.48,2.476,pass,low,bike,13.5,3,4.57,0.558,1483.36,38.92,39.05,24.18,0,April,2026
12.84682,77.573191,BEN-Z13,bengaluru,1,12.888811,77.561662,4.834,arterial,0.3142,0.0,clear,11,3,0,0,0,4,179.45,0.573,none,medium,scooter,12.1,3,3.98,0.727,832.5,47.43,61.08,33.15,0,February,2026
13.08345,80.279958,CHE-Z03,chennai,1,13.081703,80.290524,1.161,narrow_lane,0.2716,0.0,clear,14,0,0,0,0,7,154.74,2.654,none,low,bike,31.5,0,4.56,0.663,1210.6,19.11,32.33,14.78,1,June,2026
11.047289,76.886044,COI-Z03,coimbatore,2,11.046794,76.893107,0.773,residential,0.4587,0.0,clear,7,4,0,0,0,1,35.0,0.403,none,low,scooter,3.5,2,4.26,0.788,212.25,21.79,37.95,13.53,1,March,2026
9.875458,78.128042,MAD-Z02,madurai,3,9.857717,78.153788,3.442,highway,0.2315,0.0,clear,18,0,0,0,0,5,230.58,1.115,none,low,bike,9.1,0,4.16,0.816,2526.01,34.53,36.04,13.94,0,January,2026
17.336723,78.506211,HYD-Z04,hyderabad,1,17.331863,78.512224,0.836,arterial,0.6964,0.0,clear,12,0,1,0,0,1,35.0,0.304,none,medium,scooter,38.2,1,4.2,0.449,1354.07,33.37,58.65,12.3,1,February,2026
12.967574,77.540858,BEN-Z05,bengaluru,1,12.964925,77.551446,1.185,residential,0.5121,0.0,clear,10,1,0,0,0,1,57.58,0.693,none,high,bike,10.1,2,4.03,0.655,623.19,22.92,56.4,17.03,1,April,2026
17.339546,78.362421,HYD-Z02,hyderabad,1,17.323418,78.351519,2.134,residential,0.5777,13.87,moderate_rain,12,2,1,0,0,7,604.06,2.495,pass,low,bike,32.1,1,4.36,0.664,224.2,76.82,32.64,23.96,1,March,2026
17.383957,78.480301,HYD-Z01,hyderabad,1,17.370919,78.482921,1.476,residential,0.2696,0.0,clear,16,3,0,0,0,1,35.0,0.428,none,medium,bike,14.4,3,4.16,0.561,448.64,20.54,44.4,18.41,1,April,2026
17.432337,78.531114,HYD-Z07,hyderabad,1,17.440564,78.54601,1.826,residential,0.638,0.0,clear,12,3,1,0,0,6,280.23,5.372,none,low,bike,27.1,0,4.45,0.652,688.83,50.26,43.16,20.35,1,January,2026
17.386907,78.380612,HYD-Z05,hyderabad,1,17.40077,78.38541,1.623,residential,0.838,2.83,light_rain,20,0,1,0,0,5,308.68,0.841,pass,high,bike,33.0,2,4.54,0.745,1990.92,52.22,36.31,27.44,1,April,2026
28.667966,77.154585,DEL-Z08,delhi ncr,1,28.661732,77.166977,1.394,residential,0.6999,0.0,clear,20,0,1,0,0,1,49.76,0.456,none,low,scooter,33.4,1,4.4,0.847,878.93,38.13,62.89,18.99,1,April,2026
28.74618,77.197588,DEL-Z03,delhi ncr,1,28.761233,77.190091,1.826,residential,0.5459,0.0,clear,12,3,1,0,0,1,35.0,0.507,pass_plus,high,scooter,2.0,3,4.64,0.87,367.61,50.15,44.59,25.67,1,April,2026
13.034659,77.602591,BEN-Z02,bengaluru,1,13.034834,77.558157,4.814,highway,0.4547,0.0,clear,14,0,0,0,0,6,159.07,1.056,pass,low,bike,15.2,1,4.52,0.777,793.79,58.41,66.2,28.51,1,May,2026
12.999763,77.568869,BEN-Z03,bengaluru,1,12.977868,77.579583,2.697,residential,0.7519,0.0,clear,8,2,1,0,0,1,66.49,0.15,pass,medium,bike,12.7,0,4.24,0.717,373.52,48.07,68.72,26.48,1,February,2026
28.6353,77.181975,DEL-Z01,delhi ncr,1,28.656256,77.201947,3.038,residential,0.3413,0.0,clear,10,2,0,0,0,6,212.55,1.621,none,low,bike,18.3,2,4.78,0.519,333.67,41.15,43.89,25.98,1,June,2026
12.84682,77.573191,BEN-Z13,bengaluru,1,12.820966,77.580279,2.976,arterial,0.3875,0.0,clear,7,5,0,1,0,3,35.0,0.331,none,medium,bicycle,19.4,1,4.95,0.572,1121.96,38.6,51.07,31.93,0,April,2026
17.386907,78.380612,HYD-Z05,hyderabad,1,17.391583,78.397719,1.888,residential,0.5339,0.0,clear,18,5,0,1,0,7,91.12,1.327,none,medium,ev_bike,33.4,0,4.86,0.72,409.91,35.39,54.05,18.28,1,February,2026
