order_id,order_placed_at,store_id,store_lat,store_lon,delivery_zone,city,city_tier,customer_lat,customer_lon,distance_km,road_type,traffic_index,rainfall_mm,weather_condition,hour,weekday,peak_hour_flag,weekend_flag,festival_day_flag,item_count,order_amount,order_weight_kg,membership_type,demand_level,vehicle_type,rider_experience_months,current_rider_load,rider_rating,previous_acceptance_rate,rider_earnings_today,current_incentive,delivery_charge,delivery_time_minutes,rider_accepted,historical_delivery_cost,historical_travel_time,promo_code_applied,data_source
ZPO0030634,2026-03-22 22:33:00,DS0027,12.84682,77.573191,BEN-Z13,Bengaluru,1,12.860161,77.575804,1.51,residential,0.5455,0.0,clear,22,6,0,1,0,3,52.43,1.457,none,low,bike,14.2,2,4.71,0.783,291.63,28.0,51.4,20.76,1,50.94,24.935,,zepto_ops_export_v2
ZPO0008581,16/02/2026 14:16,DS0044,19.045278,72.894492,MUM-Z05,Mumbai,1,19.039069,72.904669,1.273,arterial,0.414,,moderate_rain,14,0,0,0,0,4,145.17,1.966,pass,low,bicycle,15.5,3,4.03,0.582,478.75,40.0,45.76,26.0,1,63.748,30.733,,zepto_ops_export_v2
ZPO0056490,2026-02-19 13:46:00,DS0035,17.432337,78.531114,HYD-Z07,Hyderabad,1,17.441617,78.514133,2.076,arterial,0.6352,0.0,clear,13,3,1,0,0,4,49.17,1.172,pass,high,bike,17.1,3,4.81,0.835,951.57,45.61,51.81,21.82,1,56.481,26.108,,zepto_ops_export_v2
ZPO0043495,2026-02-25 20:51:00,DS0024,13.065923,77.533601,BEN-Z10,Bengaluru,1,13.079372,77.549791,2.305,narrow lane,0.6359,0.0,clear,20,2,1,0,0,6,57.96,2.012,none,low,bike,23.7,1,4.8,0.928,1537.62,52.71,65.78,30.36,1,68.848,35.267,,zepto_ops_export_v2
ZPO0004606,28/02/2026 23:29,DS0028,12.972781,77.610699,BEN-Z14,Bengaluru,1,12.969402,77.619637,1.039,arterial,0.3505,0.0,clear,23,5,0,1,0,5,239.13,5.315,pass,medium,scooter,26.3,0,4.47,0.875,1160.02,20.2,43.29,13.58,1,44.424,22.317,,zepto_ops_export_v2
ZPO0064690,2028-11-07 23:34:00,DS0072,9.933797,78.060875,MAD-Z01,Madurai,3,9.904449,78.088917,4.481,highway,0.3213,0.0,clear,23,4,0,0,0,3,₹153.26,1.677,pass,High,scooter,6.2,0,4.03,0.686,1638.83,51.72,47.59,15.29,0,93.128,44.694,,zepto_ops_export_v2
ZPO0044308,2026-06-21 10:49:00,DS0003,13.08345,80.279958,CHE-Z03,Chennai,1,13.092851,80.274255,1.214,narrow_lane,0.3475,0.0,clear,10,6,0,1,0,4,242.08,3.745,pass,medium,bike,43.8,1,4.39,0.887,689.43,19.01,36.57,15.59,1,59.363,29.529,,zepto_ops_export_v2
ZPO0000673,2026-06-05 12:30:00,DS0084,12.292492,76.634712,MYS-Z02,Mysuru,3,12.289327,76.65042,1.743,arterial,0.4916,0.0,CLEAR,12,4,1,No,0,2,50.79,0.925,none,medium,scooter,6.4,0,,0.84,694.5,38.46,43.44,16.17,1,132.26,60.226,,zepto_ops_export_v2
ZPO0079454,2026-01-28 20:28:00,DS0083,12.273057,76.609077,MYS-Z01,Mysuru,3,12.260135,76.610419,1.444,residential,0.5891,,clear,20,2,1,0,0,6,287.08,2.887,none,high,scooter,16.8,3,4.19,0.923,352.71,36.61,34.39,21.58,1,116.846,58.41,,zepto_ops_export_v2
ZPO0021040,2026-05-17 13:27:00,DS0029,17.383957,78.480301,HYD-Z01,Hyderabad,1,17.374445,78.475136,1.191,arterial,0.6842,0.0,clr,13,6,1,1,0,9,115.02,,none,medium,bicycle,3.1,0,4.35,0.734,1012.04,35.73,58.36,23.02,1,21.289,10.891,,zepto_ops_export_v2
ZPO0011454,2026-01-05 18:32:00,DS0014,13.102544,80.255519,CHE-Z14,Chennai,1,13.077906,80.245476,2.948,residential,0.2728,0.0,clear,18,0,0,0,0,5,68.95,2.471,pass_plus,low,bike,32.8,3,4.62,0.662,782.94,34.46,52.06,24.34,1,51.981,27.108,,zepto_ops_export_v2
ZPO0078125,2026-02-20 13:10:00,DS0018,13.000426,77.566828,BEN-Z04,Bengaluru,1,13.023095,77.569715,2.54,residential,0.6023,0.0,clear,13,4,1,0,0,10,252.15,3.396,none,l,scooter,10.2,3,4.62,0.915,400.99,48.04,54.13,34.7,1,63.427,30.759,,zepto_ops_export_v2
ZPO0068101,2026-01-04 18:16:00,DS0001,13.09369,80.301218,CHE-Z01,Chennai,1,13.101199,80.293409,1.188,residential,0.434,0.0,clear,18,6,0,1,0,7,122.07,2.063,pass_plus,low,bik,3.6,1,4.78,0.489,809.55,22.14,38.15,14.78,1,56.356,27.129,,zepto_ops_export_v2
ZPO0015829,2026-03-07 18:13:00,DS0061,28.599307,77.205607,DEL-Z10,Delhi NCR,1,28.604382,77.224685,1.946,arterial,0.468,0.0,clear,18,5,0,1,0,6,73.34,401.0, none,medium,scooter,-999.0,2,4.95,0.728,1485.11,35.33,55.34,23.1,0,71.596,36.349,,zepto_ops_export_v2
ZPO0047342,2026-06-06 19:43:00,DS0054,28.74618,77.197588,DEL-Z03,Delhi NCR,1,28.762976,77.16075,4.048,residential,0.6931,0.0,clear,19,5,1,1,0,4,172.84,1.301,pass_plus,high,ev_bike,5.4,0,4.7,0.796,1268.45,62.38,44.75,37.04,0,61.467,29.113,,zepto_ops_export_v2
ZPO0052639,2026-01-22 20:58:00,DS0058,28.640905,77.121366,DEL-Z07,Delhi NCR,1,28.634477,77.134986,1.509,residential,0.5741,0.0,clear,20,3,1,0,0,2,56.22,0.243,pass,medium,bike,8.0,0,4.71,0.527,1217.98,41.81,50.41,15.13,1,36.673,16.765,,zepto_ops_export_v2
ZPO0064153,2026-06-13 10:57:00,DS0004,13.137892,80.313144,CHE-Z04,Chennai,1,13.141357,80.305086,0.954,residential,0.4435,0.0,clear,10,5,0,1,0,9,623.55,1.997,pass,low,scooter,14.8,0,4.35,0.815,362.15,23.37,26.65,14.55,1,57.001,29.545,,zepto_ops_export_v2
ZPO0019636,2026-03-04 15:33:00,DS0055,28.562492,77.247599,DEL-Z04,Delhi NCR,1,28.580146,77.240728,2.075,arterial,0.3371,0.0,clear,15,2,0,0,0,6,111.97,1.327,pass_plus,low,ev bike,19.2,2,4.24,0.747,447.41,39.18,37.19,20.13,1,63.512,31.067,,zepto_ops_export_v2
ZPO0073920,2026-04-30 18:55:00,DS0015,13.009524,77.554209,BEN-Z01,Bengaluru,1,13.008434,77.530144,2.61,arterial,0.451,0.0,clear,18,3,0,0,0,4,245.48,2.476,pass,low,bike,,3,4.57,0.558,1483.36,38.92,39.05,24.18,0,57.01,27.74,,zepto_ops_export_v2
ZPO0050755,2026-02-26 11:53:00,DS0027,12.84682,77.573191,BEN-Z13,Bengaluru,1,12.888811,77.561662,4.834,arterial,0.3142,0.0,clear,11,3,0,0,0,4,179.45,0.573,none,medium,scooter,12.1,3,3.98,0.727,832.5,47.43,61.08,33.15,0,43.32,20.443,,zepto_ops_export_v2
ZPO0008959,2026-06-15 14:51:00,DS0003,13.08345,80.279958,CHE-Z03,Chennai,1,13.081703,80.290524,1.161,narrow_lane,0.2716,0.0,clr,14,0,0,0,0,7,154.74,2.654,none,low,bike,31.5,0,4.56,0.663,1210.6,19.11,32.33,14.78,1,53.184,25.45,,zepto_ops_export_v2
ZPO0032399,2026-03-20 07:02:00,DS0066,11.047289,76.886044,COI-Z03,Coimbatore,2,11.046794,76.893107,0.773,residential,0.4587,0.0,clear,7,4,0,0,0,1,35.0,0.403,none,low,scooter,3.5,2,4.26,0.788,212.25,21.79,37.95,13.53,1,73.774,35.718,,zepto_ops_export_v2
ZPO0034651,2026-01-26 18:42:00,DS0073,9.875458,78.128042,MAD-Z02,Madurai,3,9.857717,78.153788,3.442,highway,0.2315,0.0,clear,18,0,0,0,0,5,230.58,1.115,none,low,bike,9.1,0,4.16,0.816,2526.01,34.53,36.04,13.94,0,91.659,43.102,,zepto_ops_export_v2
