review_id,order_id,user_id,product_id,review_text,rating,sentiment,topic,review_date,language
RV0001920,ZPO0027335,U00219,46,seriously items were packed neatly with proper separation :),4.0,positive,packaging,2026-04-13,english
RV0004656,ZPO0066472,U02245,27,seriously support agent was useless and kept repeating the same thing  visit https://zepto.example/offer for more,1.0,negative,customer_support,2026-03-25,english
RV0001840,ZPO0071302,U02749,79,guys advertised offer was not applied to my order ...,,negative,offers,2026-03-24,english
RV0004878,ZPO0078797,U02186,81,"Coca Cola Coca Cola expiry date already over, how can you send this do something about it &nbsp;!!",2.0,negative,product,2026-01-27,tanglish
RV0003821,ZPO0017795,U02873,83,honestly order got cancelled automatically without any reason thanks,1.0,negative,order,2026-03-20,english
RV0007195,ZPO0073757,U01183,26,the Grapes Green was stale and smelled bad,1.0,negative,product,2026-02-15,english
RV0006512,ZPO0022818,U01783,35,seriously the box was torn and items fell out,2.0,neg,packaging,2026-04-24,english
RV0005098,ZPO0007937,U02260,4,"honestly love the new app design, very smooth",3.0,positive,app,18-May-2026,english
RV0003468,ZPO0004183,U02150,52,,4.0,positive,pricing,2026-04-04,english
RV0001596,ZPO0062944,U00354,94,"recived the McCain Aloo Tikki, average qality",3.0,neutral,product,2026-05-13,english
RV0006012,ZPO0033420,U00222,28,"honestly Papaya super quality, family loved it !!!!",5.0,positive,product,2026-06-20,english
RV0003096,ZPO0064659,U02350,113,"hello delivery boy called before coming, very professional  visit https://zepto.example/offer for more",,positive,delivery,2026-02-26,english
RV0004626,ZPO0002137,U01225,57,hello handling fee and platform fee on top of delivary is daylight robbery :),4.0,negative,pricing,2026-05-18,english
RV0000264,ZPO0033048,U02459,94,"once again refund varala, been chasing for 10 days 😠",3.0,negative,refund,2026-01-07,tanglish
RV0000519,ZPO0007967,U02095,54,SERIOUSLY APP IS VERY SLOW AND FREEZES CONSTANTLY,1.0,negative,app,2026-05-22,english
RV0002693,ZPO0014185,U00298,23,honestly rider was rude and did not even apologise for being late pls look into this,1.0,negative,delivery,01/03/2026,english
RV0005322,ZPO0066589,U03181,3,honestly two items missing from my order 😡 call me on 9876512018,1.0,negative,order,2026-04-02,english
RV0000497,ZPO0039630,U03347,37,"team reached before the promised time, impressed",4.0,positive,delivery,2026-05-03,english
RV0007367,ZPO0033771,U01162,28,"order la items missing, very bad :) call me on 9876582401",1.0,negative,order,28/02/2026,tanglish
RV0002575,ZPO0073830,U01703,111,Team prices are about the same as other apps ⭐,3.0,neutral,pricing,03/05/2026,english
RV0005272,ZPO0072536,U02017,105,as usual prices increased a lot compared to last month :)  visit https://zepto.example/offer for more,2.0,negative,pricing,01-Jun-2026,english
RV0006436,ZPO0008493,U00393,105,GUYS SUPER FAST DELIVERY EVEN IN THE RAIN !! &nbsp;,5.0,positive,delivery,2026-05-20,english
RV0005488,ZPO0073163,U00176,13,hi payment process is very smooth and quick 👍  visit https://zepto.example/offer for more,4.0,positive,payment,03/05/2026,english
RV0005711,ZPO0067270,U02059,10,honnestly payment process is very smooth and quick,5.0, positive,payment,2026-01-08,english
RV0006384,ZPO0071051,U02424,14,"SERIOUSLY DELEVERY WAS OK, SLIGHTLY LATE BUT FINE",3.0,neutral,delivery,2026-06-13,english
RV0005855,ZPO0068947,U03730,39,"GUYS ZEPTO PASS IS COMPLETELY WORTH IT, FREE DELIVERY SAVES A LOT",3.0,positive,membership,2026-05-15,english
RV0000034,ZPO0012800,U02542,68,"hello refund varala, been chasing for 10 days pls look into this",2.0,negative,refund,26/06/2026,tanglish
RV0000541,ZPO0057143,U00447,55,"honestly packagingg is terrble, everything was crushed !! 😤",1.0,negative,packaging,02/01/2026,english
RV0005712,ZPO0051783,U02751,7,"hi delivered in 8 minutes, very fast kindly resolve ⭐",2.0,positive,delivery,2026-04-03,english
RV0002125,ZPO0007028,U02702,17,honestly all items in the order were exactly as selected :(,5.0,positive,,2026-01-31,english
RV0001406,ZPO0028345,U00708,72,"APPLIED A COUPON, SMALL DISCOUNT RECEIVED DO SOMETHING ABOUT IT ⭐",3.0,Neutral,offers,14/04/2026,english
RV0000458,ZPO0054217,U02089,79,"SERIOUSLY OVERALL A GOOD EXPERIENCE, KEEP IT UP",1.0,positive,others,2026-02-13,english
RV0006897,ZPO0049041,U01669,80,Guys the box was torn and items fell out ...,5 stars,negative,packaging,2026-04-08,english
RV0002808,ZPO0032707,U03206,52,support agent understood the issue and fixed it fast :( 🔥,4.0,positive,customer_support,2026-01-13,english
RV0005629,ZPO0004531,U02386,20,"seriously order la items missing, very bad :( 🤬",2.0,negative ,order,2026-06-08,tanglish
RV0005974,ZPO0035768,U01897,4,"honestly refund was processed within a few hours, very impressed !!!!!",4.0,positive,refund,2026-04-03,english
RV0000764,ZPO0078367,U01579,34,"guys order arrived, nothing to say about the delivery 😍",4.0,neutral,delivery,2026-02-04,english
RV0003460,ZPO0006911,U00223,15,as usual supprt team resolved my issue within minutes,5.0,positive,customer_support,2026-02-02,english
RV0001058,ZPO0007841,U02883,76,"upi payment went through instantly, no issues",5.0,positive,payment,2026-05-25,english
RV0000829,ZPO0012867,U02226,52,"guys delivery took more than 40 minutes, terrible",2.0,negative,delivery,2026-03-21,english
RV0004715,ZPO0013356,U01952,32,team handling fee and platform fee on top of delivery is daylight robbery,1.0,negative,pricing,17/05/2026,english
RV0000223,ZPO0050108,U02600,52,"hi worst Britannia Good Day Cashew i have received, totally rotten",2.0,negative,product,2026-01-25,english
RV0002692,ZPO0061765,U01253,25,ONCE AGAIN REFUND AMOUNT IS LESS THAN WHAT I PAID!!,1.0,negative,refund,2026-03-20,english
RV0007411,ZPO0074086,U03128,4,why was i charged a surge fee at 8pm !!,2.0,negative,pricing,2026-03-30,english
RV0003847,ZPO0041836,U03212,65,honestly support team resolved my issue within minuts,1.0,positive,customer_support,2026-06-30,english
RV0002523,ZPO0018122,U03902,19,"delivary romba late, 10 minutes nu sonninga call me on 9876526543!!!!!",3.0,negative,delivery,2026-03-23,tanglish
RV0001747,ZPO0005884,U01797,78,hi two items missing from my order :(,1.0,negative,order,2026-02-27,english
RV0002752,ZPO0036248,U03525,2,"stock illa always, very annoying !! 🤬",2.0,negative,inventory,2026-02-01,tanglish
RV0000462,ZPO0050928,U02662,27,"Hello fragile items packed with heavy ittems, obviously broke",1.0,negative,packaging,2026-06-30,english
RV0000319,ZPO0029028,U01600,59,"SERIOUSLY CUSTOMER CARE RESPONDED, WAITING FOR UPDATE",3.0,neutral,customer_support,2026-03-09,english
RV0001666,ZPO0016043,U00229,18,"hello worst Beetroot i have received, totally rotten !!",1.0,negative,product,2026-05-05,english
RV0003904,ZPO0013063,U01308,33,"SERIOUSLY DELIVERY BOY CALLED BEFORE COMING, VERY PROFESSIONAL!!!!!",3.0,positive,delivery,2026-05-15,english
RV0005961,ZPO0012085,U02851,91,  the box was torn and items fell out   ,1.0,negative,packaging,2026-05-06,english
RV0001177,ZPO0048186,U00980,12,"seriously recieved the Cauliflower, averagee quality :) 👍",4.0,neutral,product,2026-06-05,english
RV0002261,ZPO0027843,U00661,19,honestly customer care was very helpful and polite :),4.0,positive,customer_support,2026-06-01,english
RV0002364,ZPO0033673,U02209,114,"cold items came in an insulated bag, well done 👍",5.0,positive,packaging,2026-03-17,english
RV0007204,ZPO0043071,U01752,8,"hi supportt romba mosam, nobody replies 👎",2.0,negative,customer_support,2026-03-06,tanglish
RV0006267,ZPO0058530,U03264,28,support team resolved my issue within minutes,5.0,positive,customer_support,2026-02-05,english
RV0002200,ZPO0073176,U00707,106,team raised a complaint but customar service completely ignored it do something about it,1.0,negative, customer_support ,2026-01-07,english
RV0006974,ZPO0039218,U01605,35,"EXCELLANT QUALITY NANDINI CURD, WORTH THE PRICE PLS LOOOOK INTO THIS",1.0,positive,product,25/03/2026,english
RV0001672,ZPO0022906,U03501,37,"packaging was excellent, nothing was damaged :(",4.0,positive,packaging,2026-01-28,english
RV0000731,ZPO0052825,U02242,37,seriously order placement was smooth and everything arrived,5.0,positive,order,2026-04-21,english
RV0002392,ZPO0061552,U00805,75,"hi delivery took more than 40 minutes, terrible !!",2.0,negative,delivery,2026-06-17,english
RV0007701,ZPO0062916,U02893,106,"honestly cashback was credited immediately, nice pls look into this!!",5.0,positive,offers,2026-02-04,english
RV0007289,ZPO0078852,U00762,13,"refund varala, been chasing for 10 days",1.0,negative,,2026-04-11,tanglish
RV0006379,ZPO0003978,U00890,38,hello reffund cameee back to my account the same day :),5.0,positive,refund,2026-03-15,english
RV0000626,ZPO0065120,U03984,84,support team resolved my issue within minutess pls look into thiis,4.0,positive,customer_support,2026-01-15,english
